ID;Título;Fuente;Nombre_archivo
38;Workplace Wellness Guidebook;Workplace_Wellness-GUIDEBOOK-FINAL-20170714.pdf;Workplace_Wellness-GUIDEBOOK-FINAL-20170714.pdf
39;DIRECTRICES DE LA OMS SOBRE ACTIVIDAD FÍSICA Y COMPORTAMIENTOS SEDENTARIOS;;
;https://www.ncbi.nlm.nih.gov/books/NBK581972/pdf/Bookshelf_NBK581972.pdf;Bookshelf_NBK581972.pdf;
43;Adaptations to Endurance and Strength Training;https://doi.org/10.1101/cshperspect.a029769;Cold Spring Harb Perspect Med-2018-Hughes-a029769.pdf
44;A Single Bout of Exercise Improves Motor Memory;https://doi.org/10.1371/journal.pone.0044594;A Single Bout of Exercise Improves Motor Memory.pdf
45;Your Guide to Healthy Sleep;https://www.nhlbi.nih.gov/resources/your-guide-healthy-sleep;11-5271.pdf
46;Deaths from Excessive Alcohol Use — United States, 2016–2021;https://doi.org/10.15585/mmwr.mm7308a1;mm7308a1-H.pdf
47;Alcohol consumption and site-specific cancer risk: a comprehensive dose-response meta-analysis;https://doi.org/10.1038/bjc.2014.579;bjc2014579.pdf
48;Reducing Alcohol Use to Prevent Cancer Deaths: Estimated Effects Among U.S. Adults;https://doi.org/10.1016/j.amepre.2023.12.003;PIIS0749379723005019.pdf
49;USDA National Nutrient Database for Standard ReferenceRelease 28;https://ods.od.nih.gov/pubs/usdandb/Calcium-Content.pdf;Calcium-Content.pdf
50;Dietary Guidelines for Americans, 2020-2025;https://www.dietaryguidelines.gov/sites/default/files/2020-12/Dietary_Guidelines_for_Americans_2020-2025.pdf;Dietary_Guidelines_for_Americans_2020-2025.pdf
51;Sports Drinks and Energy Drinks for Children and Adolescents: Are They Appropriate?;https://doi.org/10.1542/peds.2011-0965;zpe00611001182.pdf
52;DGA Cut Down On Added Sugars, 2015-2020;https://odphp.health.gov/sites/default/files/2019-10/DGA_Cut-Down-On-Added-Sugars.pdf;DGA_Cut-Down-On-Added-Sugars.pdf
53;The Health Effects of Cannabis and Cannabinoids: The Current State of Evidence and Recommendations for Research. Washington, DC: The National Academies Press.;https://doi.org/10.17226/24625;24625.pdf
54;The chronic effects of cannabis on memory in humans: a review;http://dx.doi.org/10.2174/1874473710801010081;0010CDAR.pdf
55;Update: Characteristics of a Nationwide Outbreak of E-cigarette, or Vaping, Product Use–Associated Lung Injury — United States, August 2019–January 2020;https://doi.org/10.15585/mmwr.mm6903e2;mm6903e2-H.pdf
56;Association of Cannabis Use With Cardiovascular Outcomes Among US Adults;https://doi.org/10.1161/JAHA.123.030178;jeffers-et-al-association-of-cannabis-use-with-cardiovascular-outcomes-among-us-adults.pdf
57;Protecting Youth Mental Health: The U.S. Surgeon General's Advisory;https://www.hhs.gov/sites/default/files/surgeon-general-youth-mental-health-advisory.pdf;surgeon-general-youth-mental-health-advisory.pdf
58;Association Between e-Cigarette Use and Depression in the Behavioral Risk Factor Surveillance System, 2016-2017;https://doi.org/10.1001/jamanetworkopen.2019.16800;obisesan_2019_oi_190637.pdf
59;¿Cómo prevenir el suicidio? - Orientación - Ministerio de Salud - Plataforma del Estado Peruano;https://www.gob.pe/20715-como-prevenir-el-suicidio;¿Cómo prevenir el suicidio_ - Orientación - Ministerio de Salud - Plataforma del Estado Peruano.pdf
60;Im So Stressed Out;https://www.nimh.nih.gov/sites/default/files/documents/health/publications/so-stressed-out-fact-sheet/Im-So-Stressed-Out.pdf;Im-So-Stressed-Out.pdf
61;5 pasos que usted puede tomar para ayudar a una persona que tiene pensamientos suicidas;https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/5-medidas/som-24-4315-5-pasos-que-usted-puede-tomar.pdf;som-24-4315-5-pasos-que-usted-puede-tomar.pdf
62;El trastorno de déficit de atención con hiperactividad en adultos: 4 cosas que usted debe saber;https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/podria-yo-tener-el-trastorno-de-deficit-de-atencion-con-hiperactividad/el-trastorno-de-deficit-de-atencion-con-hiperactividad-en-adultos.pdf;el-trastorno-de-deficit-de-atencion-con-hiperactividad-en-adultos.pdf
63;Trastorno de déficit de atención con hiperactividad: Lo que usted necesita saber;https://www.nimh.nih.gov/sites/default/files/documents/health/publications/espanol/trastorno-de-deficit-de-atencion-con-hiperactividad.pdf;trastorno-de-deficit-de-atencion-con-hiperactividad.pdf
64;Trastornos del espectro autista;https://www.nimh.nih.gov/sites/default/files/documents/health/publications/espanol/trastornos-del-espectro-autista/trastornos-del-espectro-autista.pdf;trastornos-del-espectro-autista.pdf
65;Depresión;https://www.nimh.nih.gov/sites/default/files/health/publications/depression/depresion.pdf;depresion.pdf
66;Trastornos de la alimentación: Lo que debe saber;https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/los-trastornos-de-la-alimentacion/trastornos-de-la-alimentacion-lo-que-debe-saber.pdf;trastornos-de-la-alimentacion-lo-que-debe-saber.pdf
67;Consejos sobre cómo hablar con su proveedor de atención médica sobre su salud mental;https://www.nimh.nih.gov/sites/default/files/documents/health/publications/espanol/consejos-para-hablar-con-su-proveedor/consejos-sobre-como-hablar-con-su-proveedor-de-atencion-medica-sobre-su-salud-mental.pdf;consejos-sobre-como-hablar-con-su-proveedor-de-atencion-medica-sobre-su-salud-mental.pdf
68;El trastorno bipolar en los niños y los adolescentes;https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/el-trastorno-bipolar-en-los-ninos-y-los-adolescentes/23-MH-8081S-trastorno-bipolar-ninos-adolescentes.pdf;23-MH-8081S-trastorno-bipolar-ninos-adolescentes.pdf
69;Mis genes: ¿qué me pueden decir sobre mi salud mental?;https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/mis-genes-que-me-pueden-decir-sobre-mi-salud-mental/mis-genes-que-me-pueden-decir-sobre-mi-salud-mental_1.pdf;mis-genes-que-me-pueden-decir-sobre-mi-salud-mental_1.pdf
70;Professional Communication and Team Collaboration;https://www.ncbi.nlm.nih.gov/books/NBK2637/;Bookshelf_NBK2637.pdf
71;What is Shyness and How to Overcome it;https://doi.org/10.3389/frym.2023.1303630;What is Shyness and How to Overcome it · Frontiers for Young Minds.pdf
72;Transtorno de ansiedad social: Más allá de la simple timidez;https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/trastorno-de-ansiedad-social-mas-alla-de-la-simple-timidez/trastorno-de-ansiedad-social-mas-alla-de-la-simple-timidez.pdf;trastorno-de-ansiedad-social-mas-alla-de-la-simple-timidez.pdf
73;Associations Between Procrastination and Subsequent Health Outcomes Among University Students in Sweden;https://doi.org/10.1001/jamanetworkopen.2022.49346;johansson_2023_oi_221395_1671470075.00312.pdf
74;Relationship between academic procrastination, self-esteem, and moral intelligence among medical sciences students: a cross-sectional study.;https://doi.org/10.1186/s40359-024-01731-8;s40359-024-01731-8.pdf
75;Interventions to reduce academic procrastination: A systematic review;https://doi.org/10.1016/j.ijer.2023.102228;1-s2.0-S0883035523000927-main.pdf
